parameter,value,Omega
phi,-2.8718487394957983,0.18911046160251654
phi,-2.7899159663865545,0.1859300786777653
phi,-2.707983193277311,0.18274969575301403
phi,-2.6260504201680672,0.17956931282826277
phi,-2.5441176470588234,0.17638892990351152
phi,-2.46218487394958,0.17320854697876026
phi,-2.380252100840336,0.170028164054009
phi,-2.2983193277310923,0.16684778112925774
phi,-2.216386554621849,0.1636673982045065
phi,-2.134453781512605,0.16048701527975523
phi,-2.052521008403361,0.15730663235500397
phi,-1.9705882352941178,0.15412624943025272
phi,-1.888655462184874,0.15094586650550146
phi,-1.8067226890756303,0.1477654835807502
phi,-1.7247899159663866,0.14458510065599894
phi,-1.6428571428571428,0.1414047177312477
phi,-1.5609243697478992,0.13822433480649643
phi,-1.4789915966386555,0.13504395188174517
phi,-1.3970588235294117,0.13186356895699392
phi,-1.315126050420168,0.12868318603224266
phi,-1.2331932773109244,0.1255028031074914
phi,-1.1512605042016806,0.12232242018274016
phi,-1.069327731092437,0.1191420372579889
phi,-0.9873949579831933,0.11596165433323764
phi,-0.9054621848739496,0.11278127140848639
phi,-0.8235294117647058,0.10960088848373513
phi,-0.7415966386554622,0.10642050555898387
phi,-0.6596638655462185,0.10324012263423261
phi,-0.5777310924369747,0.10005973970948136
phi,-0.4957983193277311,0.0968793567847301
phi,-0.41386554621848737,0.09369897385997886
phi,-0.3319327731092437,0.0905185909352276
phi,-0.25,0.08733820801047634
